id,priority,track,type,title,url,source,status,why,next_action
PAPER-001,High,AV/VR,PubMed,"Functional and structural adaptations following immersive audiovisual training in post-stroke hemianopia",https://pubmed.ncbi.nlm.nih.gov/41421499/,NeuroImage 2026,Promote,"Closest direct match to NegletFix: 6 weeks of immersive AV training in post-stroke HH, n=15, improved reaction time with DTI/FC changes.","Keep as current core evidence anchor beside Rowland 2023 and Alharshan/Alwashmi protocol notes."
PAPER-002,High,Review,PubMed,"Assessment and Rehabilitation of Post-Stroke Visual Field Impairments: Current Approaches and Emerging Technologies",https://pubmed.ncbi.nlm.nih.gov/41930466/,Neurorehabilitation and Neural Repair 2026,Promote,"Fresh narrative review covering perimetry, substitution, eye-movement therapy, restitution, brain stimulation, and VR/wearables.","Use as Sprint 4 umbrella source for roadmap language."
TRIAL-001,High,AV/Trials,ClinicalTrials.gov,"Screening and Rehabilitation of Visual Field Defects in Post-Stroke Patients",https://clinicaltrials.gov/study/NCT07317739,Fondazione David Chiossone,Watch,"Not-yet-recruiting 2026 study of bedside visual-field screening plus early multisensory AV stimulation training.","Monitor for protocol details and results."
TRIAL-002,High,AV+tDCS/Trials,ClinicalTrials.gov,"Neuromodulation Through Multisensory Stimulation for Visual Field Deficits in the Subacute Stage of Disease",https://clinicaltrials.gov/study/NCT07358832,Istituto Auxologico Italiano,Watch,"Recruiting 2026-2029 trial combining tDCS with audio-visual training for subacute visual field deficits after stroke.","Monitor as the best active AV+tDCS clinical-trial lead."
PAPER-003,High,Scanning/Function,PubMed,"Reinforcement-Based Head-Scan Training for Drivers with Homonymous Visual Field Loss Improves Blind-Side Detection",https://pubmed.ncbi.nlm.nih.gov/42140549/,Archives of Physical Medicine and Rehabilitation 2026,Promote-Caution,"Fresh Bowers Lab single-arm simulator study: three 1-hour sessions improved proactive blind-side scanning and hazard detection.","Use for VR functional-measurement ideas only; not driving clearance."
PAPER-004,High,Scanning/RCT,PubMed,"A randomized controlled trial of Scanning Eye trAining as a Rehabilitation Choice for Hemianopia after stroke (SEARCH)",https://pubmed.ncbi.nlm.nih.gov/40083185/,International Journal of Stroke 2025,Promote-Caution,"Large RCT found both VST and sham groups improved but no significant between-group difference.","Keep as major caution against overclaiming generic scanning therapy."
PAPER-005,High,AV+tDCS,PubMed,"Enhancing multisensory rehabilitation of visual field defects with transcranial direct current stimulation",https://pubmed.ncbi.nlm.nih.gov/39607286/,European Journal of Neurology 2025,Watch,"Proof-of-principle RCT: audiovisual compensatory training with anodal tDCS in chronic HVFDs.","Clinician/research-only branch; do not alter current open-loop AV protocol yet."
PAPER-006,High,Brain Stimulation,PubMed,"Boosting hemianopia recovery: the power of interareal cross-frequency brain stimulation",https://pubmed.ncbi.nlm.nih.gov/41243213/,Brain 2025,Watch,"Double-blind crossover cf-tACS + perceptual training study reports boosted motion discrimination and isopter changes.","Watch as advanced lab stimulation branch, not home protocol."
TRIAL-003,Medium,VR/Device Trial,ClinicalTrials.gov,"PAVE system for chronic visual field loss",https://clinicaltrials.gov/study/NCT07185971,NeuroAEye LLC,Watch,"Recruiting 2026 VR headset treatment for chronic visual field loss due to stroke/TBI/brain surgery.","Commercial/device branch; watch outcomes but do not mix into NegletFix claims."
TRIAL-004,Medium,Visual Learning/Trials,ClinicalTrials.gov,"Statistical Learning as a Novel Intervention for Cortical Blindness",https://clinicaltrials.gov/study/NCT06578117,University of Rochester,Watch,"University of Rochester invitation trial for cortical blindness / HH / occipital stroke using visual training and learning tasks.","Watch Huxlin/Cavanaugh line for personalized visual learning ideas."
PAPER-007,Medium,Visual Learning,PubMed,"Functional connectivity interacts with visual perceptual learning for visual field recovery in chronic stroke",https://pubmed.ncbi.nlm.nih.gov/38332042/,Scientific Reports 2024,Watch,"Suggests baseline visual-network connectivity may predict VPL response after chronic stroke.","Relevant to future personalization; not needed for current implementation."
PAPER-008,Medium,Attention/VPL,PubMed,"Exogenous Spatial Attention Helps Overcome Spatial Specificity of Visual Learning in the Blind Field After V1 Damage",https://pubmed.ncbi.nlm.nih.gov/40746664/,Journal of Cognitive Enhancement 2025,Watch,"Pre-cues helped transfer visual learning deeper into blind field in some cortical-blindness participants.","Useful design clue for cueing and attentional manipulation."
PAPER-009,Medium,Persistence,PubMed,"Persistence of training-induced visual improvements after occipital stroke",https://pubmed.ncbi.nlm.nih.gov/40409917/,Progress in Brain Research 2025,Watch,"Extended training gains persisted in some but not all participants; heterogeneity remained important.","Supports long-term follow-up and responder/non-responder tracking."
PAPER-010,Medium,Measurement,PubMed,"Measuring residual visual function after cerebral damage",https://pubmed.ncbi.nlm.nih.gov/40409924/,Progress in Brain Research 2025,Watch,"Argues fMRI field maps may reveal spared cortex missed by perimetry/anatomy alone.","Future advanced clinical mapping branch."
PAPER-011,Medium,Tech Pilot,PubMed,"Technological visuo-cognitive training after stroke: pilot study",https://pubmed.ncbi.nlm.nih.gov/41729858/,PLOS Digital Health 2026,Watch,"Small pilot using Senaptec station showed functional visual-search/RT changes but sensory measures unchanged.","Useful for technology usability and functional-measurement framing."
PAPER-012,Medium,Reading,PubMed,"The Hemianopia Reading Questionnaire",https://pubmed.ncbi.nlm.nih.gov/39120230/,Healthcare 2024,Promote,"Developed HRQ for self-reported reading difficulties in homonymous visual field defects.","Potential source for improving Sprint 3 reading tracker."
PAPER-013,Medium,Implementation,PubMed,"Occupational Therapists' perspectives of implementing HABIT for visual field loss due to stroke",https://pubmed.ncbi.nlm.nih.gov/40931744/,NIHR Open Research 2025,Watch,"Implementation study highlights time, accessibility, text difficulty, and patient awareness barriers in real stroke services.","Useful for making NegletFix outputs simpler and more accessible."
TRIAL-005,Medium,Prisms/Compensation,ClinicalTrials.gov,"Clinical Trial of Multi-Periscopic Prism Glasses for Hemianopia",https://clinicaltrials.gov/study/NCT04827147,Massachusetts Eye and Ear,Watch,"Active-not-recruiting prism trial comparing multi-periscopic and Fresnel peripheral prism glasses.","Clinician/accommodation branch; not restorative AV core."
LAB-001,High,Active Author/Lab,Institutional,"Bowers Laboratory",https://research.bidmc.org/bowerslab/GetInvolved,Schepens Eye Research Institute,Watch,"Active hemianopia/quadrantanopia driving-simulator and vision studies; Alex Bowers is a recurring source.","Monthly search author/lab name plus PubMed."
LAB-002,High,Active Author/Lab,Institutional,"Professor Fiona Rowe research page",https://www.liverpool.ac.uk/people/fiona-rowe/research,University of Liverpool,Watch,"SEARCH/HABIT/VISION/IVIS ecosystem; direct stroke-vision service and research relevance.","Track papers, trial results, and patient-facing resources."
LAB-003,High,Active Author/Lab,Institutional,"Huxlin Lab / VisPeR Lab",https://www.urmc.rochester.edu/eye-institute/research/labs/huxlin,University of Rochester,Watch,"Active cortical blindness / occipital stroke visual restoration group with clinical trials and VPL work.","Track Huxlin/Cavanaugh/Willis/Raffin publications and trials."
