id,priority,track,type,title,url,source,status,why,next_action
YT-012,Watch,QEEG/tPBM,YouTube,"Recovery After Stroke 404: QEEG-guided laser story",https://www.youtube.com/watch?v=JJOZjfpJaZs,Recovery After Stroke,Park-Claim,"Interesting story and vocabulary source; dramatic acquired-prosopagnosia claim is anecdotal and not enough to alter protocol.","Keep as curiosity; do not promote as evidence."
YT-013,Watch,QEEG/tPBM,YouTube,"tPBM & qEEG: Guided Photobiomodulation Protocol for Stroke Rehabilitation",https://www.youtube.com/watch?v=PhO5YKgu_jg,brain-PBM,Watch-Caution,"Technical case-study presentation; directly matches QEEG-guided PBM idea but appears non-independent and case-level.","Use only to extract questions: EEG montage, artifact control, targeting algorithm, dose, adverse events, outcomes."
YT-014,Watch,tPBM/Naeser,YouTube,"Interview with Dr Margaret Naeser on brain photobiomodulation",https://www.youtube.com/watch?v=ZOigoWyAOYo,Vielight Inc,Watch,"Named researcher lead; Naeser has real publications in TBI and chronic stroke aphasia, but not direct hemianopia restoration evidence.","Keep Naeser papers in watchlist; separate aphasia/TBI/cognition from Eric's visual-field target."
QEEG-001,High,QEEG,Guideline,"ACNS Guidelines and Consensus Statements: Quantitative EEG",https://www.acns.org/practice/guidelines/quantitative-eeg,American Clinical Neurophysiology Society,Promote-Caution,"Official neurophysiology guideline source; QEEG is adjunctive analysis, not an oracle or standalone diagnosis.","Use as the boundary source for any QEEG discussion."
QEEG-002,High,QEEG,PubMed,"Use of Quantitative EEG for Diagnosis of Mild Traumatic Brain Injury",https://pubmed.ncbi.nlm.nih.gov/34038930/,Journal of Clinical Neurophysiology 2021,Promote-Caution,"ACNS guideline notes persistent controversy and emphasizes qualified EEG acquisition/review.","Use to require raw EEG review, artifact control, and qualified interpretation."
TPBM-001,High,tPBM/Stroke,Review,"Potential and Challenges of Transcranial Photobiomodulation for the Treatment of Stroke",https://pmc.ncbi.nlm.nih.gov/articles/PMC11653948/,CNS Neuroscience and Therapeutics 2024,Promote-Caution,"Good stroke-specific review: mechanisms plausible, translation challenges remain.","Use as the main balanced tPBM stroke review."
TPBM-002,High,tPBM/Stroke,Review,"Application of non-invasive transcranial photobiomodulation in ischemic stroke",https://pubmed.ncbi.nlm.nih.gov/41550744/,iScience 2026,Watch,"Fresh 2026 review of ischemic-stroke mechanisms and clinical insights.","Add to monthly watchlist; review once full text is processed."
TPBM-003,High,tPBM/Stroke,RCT,"Transcranial Near-infrared Laser Therapy in Chronic Ischemic Stroke",https://pubmed.ncbi.nlm.nih.gov/42110828/,Journal of the Saudi Heart Association 2026,Promote-Caution,"Randomized sham-controlled chronic ischemic stroke trial found no significant between-group NIHSS benefit.","Use as key caution against assuming clinical benefit."
TPBM-004,Medium,tPBM/Stroke,RCT,"Red-light photobiomodulation in post-stroke cognitive impairment",https://pubmed.ncbi.nlm.nih.gov/41383236/,Frontiers in Neurology 2025,Watch,"Positive randomized trial for post-stroke cognition/neuropsychiatric symptoms, not hemianopia.","Track as adjacent stroke-cognition evidence, not visual-field evidence."
TPBM-005,Medium,tPBM/Aphasia,Case series,"Red/NIR tPBM in chronic stroke aphasia",https://pubmed.ncbi.nlm.nih.gov/31621498/,Photobiomodulation Photomedicine and Laser Surgery 2020,Watch,"Naeser case series with improved naming and fMRI connectivity changes in chronic aphasia; small, uncontrolled, not HH.","Use as Naeser anchor but keep category separate."
TPBM-006,Medium,tPBM/Human physiology,Human study,"1064-nm tPBM improves cerebral metabolism measures in vivo",https://pubmed.ncbi.nlm.nih.gov/32173886/,Lasers in Surgery and Medicine 2020,Promote-Mechanism,"Human physiology evidence that tPBM can change oxygenated hemoglobin and oxidized cytochrome c oxidase measures.","Use only as mechanism/plausibility support, not rehab outcome proof."
TRIAL-001,Medium,tPBM/Stroke,ClinicalTrials.gov,"Effect of PBM on electrical activity of the brain in stroke patients",https://clinicaltrials.gov/study/NCT07323823,Pusan National University Yangsan Hospital,Watch,"Not-yet-recruiting stroke aphasia trial measuring PBM effects on brain electrical activity.","Monitor for EEG/PBM methods and outcomes."
X-003,Watch,QEEG/tPBM,X Search,"QEEG photobiomodulation stroke query",https://x.com/search?q=%22QEEG%22%20%22photobiomodulation%22%20stroke%20filter%3Alinks&src=typed_query&f=live,X Search,Completed-Discovery,"Useful for finding names and links, but no claims accepted from posts.","Run monthly; save only DOI, PMID, trial, institution, or guideline links."
